occupation,perc_agr_2007,perc_agr_2008,perc_agr_2009,perc_agr_2010,perc_agr_2011,perc_agr_2012
farmer/farmers,68.6,57.4,53.0,69.0,76.0,73.0
"Business Executive",45.7,33.3,30.4,63.3,28.9,63.3
"Fortunate Family",50.0,59.1,44.2,41.5,61.5,63.0
Contractor,50.0,51.5,45.6,39.3,40.7,62.9
Pilot,32.1,36.4,52.4,52.5,38.2,62.7
Volunteer,61.3,37.5,52.4,55.8,35.0,61.7
Technician,42.9,41.7,44.0,46.2,42.5,61.5
"IT Consultant",52.8,41.3,48.8,61.1,42.0,60.5
"Grad Student",51.2,40.7,51.4,47.6,37.0,59.5
"Civil Engineer",46.4,53.3,33.3,39.5,47.5,58.7
"College Student",42.9,40.6,52.9,38.1,39.0,58.2
"Health Care",46.9,40.7,41.0,50.0,28.2,55.9
"Software Consultant",48.1,41.9,46.6,41.1,40.0,55.9
"College Professor",53.8,43.8,48.8,60.0,47.7,55.7
psychotherapist,54.2,50.0,51.3,33.3,28.9,55.0
"business owner",43.5,47.1,52.5,42.7,43.5,54.0
designer,57.1,52.1,40.9,46.6,43.1,53.9
"Program Manager",57.1,37.5,44.8,51.6,45.2,53.8
"Systems Analyst",36.4,42.9,29.2,44.8,47.8,53.7
"Registered Nurse",41.2,44.7,40.7,47.0,50.8,53.6
photographer,52.4,42.0,45.5,39.0,45.3,53.5
"Software Developer",47.1,45.7,42.1,44.4,43.2,53.4
"Mom ",39.0,38.1,45.9,45.5,45.5,52.8
Architect,57.7,47.1,50.0,39.5,34.4,52.5
Physician,48.4,41.8,45.0,45.1,49.0,51.6
Scientist,49.5,44.9,48.4,43.8,42.8,51.2
Carpenter,36.4,29.2,44.2,33.3,45.2,51.0
Sales,60.8,46.0,52.1,45.8,45.4,50.9
Educator,54.5,42.1,48.5,42.5,49.3,50.8
Teachers,44.4,61.4,40.0,55.6,56.4,50.6
Investor,51.2,25.0,60.5,30.9,28.6,50.6
Nurse,49.1,37.3,45.9,45.5,47.9,50.5
"Graphic Designer",60.0,35.0,40.2,37.8,51.2,50.4
"Graduate Student",51.5,54.9,47.9,49.2,43.2,50.4
"Retired Teacher",52.2,53.5,46.5,42.4,49.2,50.4
Finance,51.4,42.0,51.9,43.6,49.0,50.0
Marketing,42.6,40.0,48.4,39.0,39.6,49.9
Homemaker,51.2,44.0,48.1,45.3,42.9,49.8
Analyst,58.8,53.8,48.2,49.7,44.9,49.7
"Financial Analyst",42.1,58.7,35.1,42.1,45.2,49.5
Retired,47.4,49.2,46.4,41.8,43.5,49.4
"Retired Engineer",42.9,45.2,51.4,37.2,48.2,49.4
self-employed,50.0,43.4,47.7,36.6,45.0,48.8
"Administrative Assistant",66.7,41.3,46.8,37.3,41.7,48.8
IT,43.2,45.8,45.3,34.0,43.5,48.8
,47.8,44.7,46.7,45.6,46.0,48.8
Students,52.4,47.4,49.4,42.8,45.8,48.5
Student,50.7,45.8,47.8,45.6,48.1,48.5
Writer,50.0,39.3,38.7,40.7,45.5,48.2
accountant,51.7,43.4,46.0,47.0,45.9,48.0
Consultant,50.7,43.2,46.7,47.6,46.2,48.0
"Self Employed",57.1,57.5,47.4,46.4,37.5,47.8
Filmmaker,57.1,53.8,51.7,38.9,53.7,47.8
Professor,45.0,49.2,47.0,44.6,43.8,47.7
"Web Developer",50.0,44.9,43.8,48.4,49.7,47.7
Entrepreneur,40.3,47.6,45.0,47.3,43.9,47.4
programmer,38.8,38.0,42.7,40.4,41.8,47.3
Lawyer,52.4,47.8,47.8,42.9,42.2,47.3
CPA,41.5,44.4,39.3,45.5,48.4,47.1
"Social Worker",62.9,37.8,42.1,40.4,50.3,46.9
"Law student",58.6,60.0,50.9,46.7,41.7,46.9
Doctor,46.5,44.7,59.8,46.5,47.6,46.6
teacher,48.4,44.7,45.9,44.9,43.9,46.4
mother,37.0,47.7,40.8,40.3,43.0,46.3
Banker,47.5,47.4,36.2,40.8,55.3,46.2
Engineer,45.3,44.5,44.7,45.5,43.1,46.1
attorney,47.1,41.8,42.5,45.2,43.6,46.0
Business,42.1,50.0,43.1,44.2,38.5,45.9
"Computer Programmer",42.9,34.2,48.0,42.8,35.7,45.9
artist,42.9,45.6,51.1,40.5,42.7,45.8
"Project Manager",56.1,41.5,43.5,37.4,47.0,45.6
Executive,60.6,52.9,45.5,46.1,53.3,45.5
family,52.4,13.3,42.5,33.3,38.8,45.3
Manager,48.3,45.8,46.5,42.2,44.0,45.3
"Management Consultant",50.0,38.2,34.0,50.0,40.5,44.7
Musician,45.5,40.6,43.6,48.9,42.2,44.1
"Retired Educator",52.4,54.2,47.2,45.1,36.7,43.8
"Software Engineer",44.6,40.8,45.6,43.0,41.1,43.5
librarian,48.4,50.4,44.2,33.1,33.3,43.4
Journalist,43.1,47.1,46.2,40.8,32.9,43.1
"Real Estate Broker",41.2,43.5,42.3,59.0,51.0,42.9
"IT Manager",37.0,47.6,49.4,39.6,45.1,42.3
editor,40.0,42.1,47.3,45.5,42.0,42.1
Software,53.8,51.3,45.1,34.6,45.5,42.0
Researcher,54.5,49.3,50.0,41.1,53.2,41.3
psychologist,40.7,46.2,46.2,46.1,45.3,41.0
"business manager",37.9,53.3,41.7,49.1,37.5,40.4
"office manager",42.5,54.9,51.4,38.5,46.2,39.7
"retired social worker",41.7,36.7,54.5,62.1,48.5,39.5
"Small business owner",48.8,36.8,52.3,37.3,42.3,39.5
"Real Estate",39.0,38.1,47.9,39.5,49.2,36.6
